,y,x
0,2727254.21233538,672179.85132893
1,2745718.42491608,673273.63738751
2,2744105.82168402,662480.34112958
3,2744175.30885561,662624.15973722
4,2744299.50200223,662881.20409541
5,2744372.61512876,663032.52739459
6,2744500.1541225,672425.86291622
7,2745466.5208027,670855.73380008
8,2744761.87993963,671192.70930505
9,2746110.40049032,672756.79152956
10,2746233.7200785,672975.98319638
11,2727559.96981004,671087.11292414
12,2727510.40800674,671932.69845811
13,2727340.68241915,672055.19084038
14,2743462.8882378,663540.79129743
15,2745282.03556615,673204.98326038
16,2744031.63220098,663439.8192668
17,2727965.92742739,671256.05859652
18,2726903.43190893,671884.47494489
19,2744569.52804206,672569.27067266
20,2744637.14662184,672709.04984158
21,2745973.06563699,672400.31881328
22,2744691.90945112,672822.25397554
23,2743360.89363707,663320.75741462
24,2743472.91197258,662551.60304976
25,2744239.5917097,662757.20689338
26,2744484.61055052,671325.30591888
27,2745977.89320866,671556.47677086
28,2727614.90097543,671896.06615715
29,2728032.43140661,671798.94439173
30,2731274.27632622,665186.21483795
31,2729181.25020195,664300.89116364
32,2732267.56600784,664679.50693019
33,2744244.05619719,671896.46470529
34,2745965.93753244,671125.7787797
35,2727123.03991918,672159.66193679
